Invoice Id,Invoice Create Ts,Transaction Method,Transaction Type,Response Id,Pan Last 4 Nr,Amount,Publish Ts
JA07264111          ,2020-05-18 22:50:56,ACMI,REFUND,441e3ab0-02db-49be-89d6-4b4d2a189001,,98.01,2020-05-27 05:18:04
JA07302030          ,2020-05-24 15:58:08,ACMI,REFUND,0fd3bad6-a625-4274-a9c1-34ed08762ce1,,97.088,2020-05-27 05:18:04
AC15067032          ,2020-05-25 01:31:13,PIF,EARN,MWEXZ7UOE0522,1122,96.976,2020-05-27 05:18:04
AC14695233          ,2020-05-25 01:16:04,ACMI,EARN,90748738-c9d0-4539-9f60-adcb79cdcc19,,98.324,2020-05-27 05:18:04
AC15070515          ,2020-05-25 03:32:09,ACMI,EARN,888c819c-b8a0-451a-bc5a-03d1ee9a3c0d,,96.525,2020-05-27 05:18:04
AC13363537          ,2020-05-19 01:27:04,PIF,EARN,MWEBNT9GV0518,1370,90,2020-05-27 05:18:04
AC13151404          ,2020-05-18 11:49:54,PIF,EARN,MWEYXIDEK0518,0158,97.424,2020-05-27 05:18:04
AC12870507          ,2020-05-18 00:58:44,ACMI,EARN,0aaa5d56-c75f-4383-91f9-10ae6477a3cd,,90,2020-05-27 05:18:04
JA07305701          ,2020-05-23 16:24:46,ACMI,REFUND,8499a210-312a-4f4e-b7bf-f26e3c85c945,,96.3,2020-05-27 05:18:04
JA07360516          ,2020-05-26 14:06:20,PIF,REFUND,MWEUYST6J0517,8037,95.628,2020-05-27 05:18:04
JA07322811          ,2020-05-22 16:08:14,ACMI,REFUND,92be9c3b-7c1f-4faa-8e7b-0d026779b367,,98.1,2020-05-27 05:18:04
JA07271836          ,2020-05-18 12:21:17,PIF,REFUND,MWEV89TUT0511,1432,96.3,2020-05-27 05:18:04
AC15511821          ,2020-05-26 13:19:12,ACMI,EARN,a2ab7810-e8b9-46d6-b6ea-f4a2633e0624,,97.2,2020-05-27 05:18:04
AC12962879          ,2020-05-18 01:50:26,PIF,EARN,MWEPYSQCM0515,3998,96.975,2020-05-27 05:18:04
JA07354307          ,2020-05-26 04:44:27,ACMI,REFUND,bf65b41b-91fa-4289-8445-9b3fa2c0dbcd,,96.502,2020-05-27 05:18:04
JA07315405          ,2020-05-23 08:26:17,PIF,REFUND,MWE0U68IN0512,1472,95.851,2020-05-27 05:18:04
AC13739723          ,2020-05-20 01:23:57,PIF,EARN,MWEGBXM0V0518,3686,97.652,2020-05-27 05:18:04
AC15056727          ,2020-05-25 01:22:46,PIF,EARN,MWESZW70G0522,2391,95.4,2020-05-27 05:18:04
JA07243811          ,2020-05-14 17:03:46,PIF,REFUND,MWEPMNGMV0507,0518,96.975,2020-05-27 05:18:04
JA07327261          ,2020-05-22 11:09:38,PIF,REFUND,MWER7XTA40506,7205,97.875,2020-05-27 05:18:04
AC14076718          ,2020-05-21 01:35:41,PIF,EARN,MWEHR9ZJ40519,2944,96.752,2020-05-27 05:18:04
AC14557190          ,2020-05-22 15:43:08,PIF,EARN,MWEVYUHNE0522,2728,95.625,2020-05-27 05:18:04
AC14608121          ,2020-05-23 10:07:50,ACMI,EARN,01dab763-9601-4628-bcc9-635f94e9ed15,,99.09,2020-05-27 05:18:04
AC12588694          ,2020-05-16 00:07:39,PIF,EARN,MWEA2ZZ1P0515,1919,95.4,2020-05-27 05:18:04
JA07301726          ,2020-05-20 14:18:28,PIF,REFUND,MWEGKS6510508,0670,96.528,2020-05-27 05:18:04
AC15539086          ,2020-05-26 15:51:23,ACMI,EARN,095bd3ff-305f-48ba-a765-1791c20d4e17,,96.3,2020-05-27 05:18:04
AC13655470          ,2020-05-19 21:23:05,PIF,EARN,MWEN0EUMR0519,0825,95.625,2020-05-27 05:18:04
KA24756597          ,2020-05-24 11:24:38,ACMI,REFUND,cebf54d8-6687-444f-a92c-f855b43da8f2,,90,2020-05-27 05:18:04
JA07336513          ,2020-05-24 15:11:32,PIF,REFUND,MWEG9Q9IH0522,2415,94.241,2020-05-27 05:18:04
AC12879746          ,2020-05-18 00:43:36,ACMI,EARN,82e68466-2c51-4883-b040-0a504bf86402,,95.4,2020-05-27 05:18:04
AC13389795          ,2020-05-19 02:42:30,PIF,EARN,MWEXYEG6J0517,4995,97.764,2020-05-27 05:18:04
AC14067282          ,2020-05-21 01:50:50,ACMI,EARN,452ad3de-e264-4166-867b-8e77d1886f01,,97.651,2020-05-27 05:18:04
JA07196054          ,2020-05-21 11:25:24,ACMI,REFUND,76ece67e-225b-4133-9f26-1907ea76edc4,,97.426,2020-05-27 05:18:04
AC12835820          ,2020-05-18 00:00:36,PIF,EARN,MWEA1NKQ10517,1188,96.524,2020-05-27 05:18:04
JA07357318          ,2020-05-26 09:49:13,PIF,REFUND,MWEHY33670504,5316,90,2020-05-27 05:18:04
AC15207435          ,2020-05-25 11:36:19,ACMI,EARN,30a0de7c-0e9c-46a7-b0d0-df7fba7962c0,,94.77,2020-05-27 05:18:04
AC13734795          ,2020-05-20 01:23:59,ACMI,EARN,33f92253-5328-46e9-8bb6-7c1a37c35047,,90,2020-05-27 05:18:04
JA07255758          ,2020-05-15 13:33:55,PIF,REFUND,MWENQL1890504,4200,97.988,2020-05-27 05:18:04
JA07359471          ,2020-05-26 12:48:54,ACMI,REFUND,3f2de854-ea19-4b7e-93bd-c26b1672907f,,97.178,2020-05-27 05:18:04
JA07359471          ,2020-05-26 12:48:54,ACMI,REFUND,5ac28cc4-49be-44d9-9f46-fd74ef3f9aa5,,90,2020-05-27 05:18:04
AC14126610          ,2020-05-21 04:52:07,PIF,EARN,MWE50WMSI0521,9186,95.4,2020-05-27 05:18:04
AC15402428          ,2020-05-26 04:14:12,PIF,EARN,MWENTWJJU0525,5036,94.952,2020-05-27 05:18:04
JA07154932          ,2020-05-20 17:05:47,ACMI,REFUND,9bc21620-ad1c-4326-877c-d89c0b1883d8,,99.451,2020-05-27 05:18:04
AC14089649          ,2020-05-21 01:51:02,ACMI,EARN,dfc9f81a-92f8-4238-a5c9-f40a3b8732ad,,96.75,2020-05-27 05:18:04
AC15228226          ,2020-05-25 15:22:49,ACMI,EARN,928ae8b8-df48-4d32-95cf-23c4bf0a2b88,,96.525,2020-05-27 05:18:04
JA07302430          ,2020-05-20 14:33:59,PIF,REFUND,MWEWAGEWI0509,0295,95.964,2020-05-27 05:18:04
AC13409812          ,2020-05-19 02:57:55,PIF,EARN,MWEIDJ2DZ0518,4875,96.3,2020-05-27 05:18:04
JA07336192          ,2020-05-24 11:40:09,ACMI,REFUND,e4cac7d6-5033-4ba7-ad14-53b5d8093632,,98.1,2020-05-27 05:18:04
JA07336192          ,2020-05-24 11:40:09,ACMI,REFUND,80d537e2-ee28-4c53-ac3e-6fa7411e0521,,90,2020-05-27 05:18:04
JA07328966          ,2020-05-22 13:12:11,PIF,REFUND,MWET5VQQR0511,2393,97.2,2020-05-27 05:18:04
AC15359234          ,2020-05-26 01:27:50,PIF,EARN,MWEEV9TZG0524,8896,90,2020-05-27 05:18:04
AC13389701          ,2020-05-19 02:42:34,PIF,EARN,MWETPQOQV0517,1886,97.424,2020-05-27 05:18:04
AC14076964          ,2020-05-21 01:35:41,PIF,EARN,MWELTFB0G0519,0418,96.3,2020-05-27 05:18:04
JA07334442          ,2020-05-23 11:06:43,PIF,REFUND,MWESKX98V0519,3093,97.987,2020-05-27 05:18:04
AC14993935          ,2020-05-25 00:31:12,ACMI,EARN,906f665f-5674-4bcf-846f-3d397c115710,,97.875,2020-05-27 05:18:04
AC12955892          ,2020-05-18 01:45:29,ACMI,EARN,274ed88e-b5cf-42cf-bc38-a89d31d5dd63,,90,2020-05-27 05:18:04
AC13416949          ,2020-05-19 02:57:47,ACMI,EARN,ca97427f-eed4-4e4f-a488-ab75041f47f7,,98.551,2020-05-27 05:18:04
AC13272618          ,2020-05-19 08:43:32,ACMI,EARN,801d7543-99da-451d-bac8-9ed32e75898c,,97.875,2020-05-27 05:18:04
AC13522727          ,2020-05-20 01:08:41,ACMI,EARN,303dd44c-0b5d-4f5f-81cf-09fa6bd9965f,,90,2020-05-27 05:18:04
JA07300396          ,2020-05-20 13:47:35,PIF,REFUND,MWETWN7580507,4585,97.762,2020-05-27 05:18:04
AC12637595          ,2020-05-17 08:48:05,PIF,EARN,MWEXBHSQU0517,1587,95.714,2020-05-27 05:18:04
JA07142870          ,2020-05-19 01:40:33,ACMI,REFUND,ee91f817-86a0-479e-bf96-5600bfbbfe56,,99,2020-05-27 05:18:04
JA07287506          ,2020-05-19 14:21:40,PIF,REFUND,MWEJCP3100511,9292,97.988,2020-05-27 05:18:04
AC12677966          ,2020-05-17 05:30:01,ACMI,EARN,45912835-7b4f-40d6-91cc-c3bd29d4877d,,90,2020-05-27 05:18:04
JA07239630          ,2020-05-24 04:38:56,ACMI,REFUND,30fb93a2-a826-4075-8084-cdb3f4ad6744,,94.241,2020-05-27 05:18:04
KA24789567          ,2020-05-25 10:04:36,PIF,REFUND,MWEHNN50O0512,6550,97.874,2020-05-27 05:18:04
AC14072051          ,2020-05-21 01:35:41,PIF,EARN,MWERDMBMR0519,9147,95.4,2020-05-27 05:18:04
AC13150769          ,2020-05-18 14:21:02,ACMI,EARN,764a7de5-f453-4d0c-99ac-b5ed93ed6135,,97.74,2020-05-27 05:18:04
JA07343724          ,2020-05-25 16:09:54,ACMI,REFUND,bb1a9971-a1f5-4c9d-92ef-52b7cb9dd081,,94.243,2020-05-27 05:18:04
AC13396126          ,2020-05-19 02:42:30,PIF,EARN,MWEOUYW6X0516,1780,97.988,2020-05-27 05:18:04
AC15355209          ,2020-05-26 01:27:55,PIF,EARN,MWEUGWNXS0524,9063,97.29,2020-05-27 05:18:04
AC14072677          ,2020-05-21 01:35:41,PIF,EARN,MWE5OJS930519,3746,99.224,2020-05-27 05:18:04
JA07329153          ,2020-05-22 13:23:59,ACMI,REFUND,3f5c5ec6-3a2a-4361-9328-51a23bbf3c78,,96.3,2020-05-27 05:18:04
JA07282802          ,2020-05-25 14:37:16,ACMI,REFUND,44800186-fc02-460c-aac0-8599b6151e84,,97.653,2020-05-27 05:18:04
JA07282802          ,2020-05-25 14:37:16,ACMI,REFUND,2fef443d-412d-4cbb-8c59-812c9e8f0ecc,,97.651,2020-05-27 05:18:04
JA07233128          ,2020-05-15 15:47:08,PIF,REFUND,MWEXGFQGV0506,2362,98.775,2020-05-27 05:18:04
AC12843588          ,2020-05-18 00:00:36,ACMI,EARN,1a56faa4-0609-4718-885e-d36b322d0f66,,96.525,2020-05-27 05:18:04
AC13402555          ,2020-05-19 02:42:30,PIF,EARN,MWEFFRDLD0516,3780,96.976,2020-05-27 05:18:04
AC12835214          ,2020-05-18 00:43:57,ACMI,EARN,254d3937-6d98-4a31-a6b2-32910574b09f,,95.962,2020-05-27 05:18:04
AC14139692          ,2020-05-21 06:23:05,ACMI,EARN,e36682da-2ec9-425c-85e1-5eac8b47da0a,,97.985,2020-05-27 05:18:04
AC12993495          ,2020-05-18 02:14:35,PIF,EARN,MWES50KSM0517,1187,95.4,2020-05-27 05:18:04
JA07356660          ,2020-05-26 08:34:10,PIF,REFUND,MWEQ1C1420508,5066,98.954,2020-05-27 05:18:04
KA24628249          ,2020-05-20 00:34:56,PIF,REFUND,MWEPYIARC0508,1995,90,2020-05-27 05:18:04
JA07305705          ,2020-05-23 16:24:46,ACMI,REFUND,d39795fc-a4a7-48c4-a9aa-c3b602044c99,,90,2020-05-27 05:18:04
JA07305705          ,2020-05-23 16:24:46,ACMI,REFUND,bfb17885-1ad1-4ed3-9385-237b9e74cf58,,96.3,2020-05-27 05:18:04
AC13093729          ,2020-05-18 10:49:55,PIF,EARN,MWEQEDHV70518,4089,96.976,2020-05-27 05:18:04
JA07238580          ,2020-05-14 10:44:38,PIF,REFUND,MWEZ8PWEC0509,6820,90,2020-05-27 05:18:04
AC14459632          ,2020-05-22 06:06:34,ACMI,EARN,cf55f07b-a954-4a17-995e-80c784a9c2b2,,97.56,2020-05-27 05:18:04
AC14316677          ,2020-05-21 22:00:42,ACMI,EARN,06ad5b35-df2b-4f77-baff-3af48acdf63b,,97.425,2020-05-27 05:18:04
AC13347798          ,2020-05-19 02:42:27,PIF,EARN,MWE7D4Q320517,6314,95.624,2020-05-27 05:18:04
AC12688944          ,2020-05-23 08:56:37,ACMI,EARN,cc837014-c5a3-4df1-9174-ede403a07410,,96.3,2020-05-27 05:18:04
AC14462391          ,2020-05-22 06:20:38,ACMI,EARN,3b8047e9-579a-4a02-807a-3ea44e8ae5aa,,96.3,2020-05-27 05:18:04
JA07273564          ,2020-05-18 13:23:49,PIF,REFUND,MWEX4E9D90509,3098,97.2,2020-05-27 05:18:04
AC13455792          ,2020-05-19 05:29:04,ACMI,EARN,f3403283-1d60-4a22-89f2-2d6976315c83,,97.988,2020-05-27 05:18:04
KA24576970          ,2020-05-23 11:00:32,ACMI,REFUND,17eeae31-67e0-4549-b716-35d4621ca3fa,,90,2020-05-27 05:18:04
JA07343723          ,2020-05-25 10:14:37,PIF,REFUND,MWEZEB3HJ0513,8860,98.213,2020-05-27 05:18:04
JA07343723          ,2020-05-25 10:14:37,PIF,REFUND,MWEZEB3HJ0513,8860,98.212,2020-05-27 05:18:04
JA07331076          ,2020-05-24 09:36:51,ACMI,REFUND,27bdaea2-aef3-4cac-9b40-36c39ff01e99,,95.851,2020-05-27 05:18:04
JA07331076          ,2020-05-24 09:36:51,ACMI,REFUND,bc02c927-fb33-4769-9653-ad7de19b51aa,,95.855,2020-05-27 05:18:04
JA07327213          ,2020-05-22 11:07:56,ACMI,REFUND,59512a77-10e3-4b4e-ac72-bb3eb4af422e,,98.325,2020-05-27 05:18:04
JA07360193          ,2020-05-26 13:49:17,ACMI,REFUND,235360b7-a793-4596-aa99-b5eb1471f838,,96.975,2020-05-27 05:18:04
JA07313209          ,2020-05-21 11:56:40,PIF,REFUND,MWEIKCQVQ0512,5636,98.55,2020-05-27 05:18:04
JA07304687          ,2020-05-22 13:54:11,ACMI,REFUND,31072f73-a9d4-4cb4-98d3-17b4d60ad0b6,,95.4,2020-05-27 05:18:04
JA07329742          ,2020-05-22 13:55:42,PIF,REFUND,MWEZS1O1E0514,0700,93.801,2020-05-27 05:18:04
AC15051643          ,2020-05-25 01:16:05,PIF,EARN,MWESN0GNE0522,0776,94.952,2020-05-27 05:18:04
JA07273607          ,2020-05-23 10:45:02,ACMI,REFUND,c98a4086-99ba-4466-940c-2f4adf78a625,,99,2020-05-27 05:18:04
AC13391539          ,2020-05-19 02:42:37,ACMI,EARN,870bfd43-fefd-4224-bc76-2f3027ccb355,,95.4,2020-05-27 05:18:04
AC15358962          ,2020-05-26 01:27:51,PIF,EARN,MWEWYK1BW0523,0681,98.324,2020-05-27 05:18:04
JA07301223          ,2020-05-20 14:02:23,PIF,REFUND,MWEZJHPN20507,8403,97.872,2020-05-27 05:18:04
AC13441985          ,2020-05-19 04:29:33,PIF,EARN,MWEVSM91V0518,8402,98.1,2020-05-27 05:18:04
JA07315117          ,2020-05-21 15:00:53,PIF,REFUND,MWEFKZ7LP0507,3092,97.987,2020-05-27 05:18:04
AC13774524          ,2020-05-20 02:54:47,ACMI,EARN,69e2925f-3b61-4b04-8756-2e1a991fe66c,,96.3,2020-05-27 05:18:04
AC14729808          ,2020-05-23 05:33:40,ACMI,EARN,3287e296-fce9-4ea2-a067-b4edbb6ef74a,,96.525,2020-05-27 05:18:04
AC13411468          ,2020-05-19 02:57:44,ACMI,EARN,bdb5f16e-cb3a-4982-8bb3-5233cf6c6384,,90,2020-05-27 05:18:04
JA07303117          ,2020-05-24 16:33:48,PIF,REFUND,MWEOEBHEQ0518,7740,99.452,2020-05-27 05:18:04
AC15353850          ,2020-05-26 01:27:50,PIF,EARN,MWEGFZ3WO0523,0302,95.852,2020-05-27 05:18:04
AC15410831          ,2020-05-26 05:29:50,ACMI,EARN,2ea26975-4e85-4187-85a5-d60b3375d98b,,96.074,2020-05-27 05:18:04
JA07354448          ,2020-05-26 04:59:40,ACMI,REFUND,ac58be2e-8515-4978-960f-2fc989150f75,,97.762,2020-05-27 05:18:04
AC15430477          ,2020-05-26 07:49:20,ACMI,EARN,d3430688-83be-45d2-a24b-48a768d7b8c5,,97.762,2020-05-27 05:18:04
AC15506859          ,2020-05-26 13:04:16,ACMI,EARN,494320fd-bee4-45a5-95e1-ce80cefa8ff0,,90,2020-05-27 05:18:04
AC14880850          ,2020-05-24 10:52:02,PIF,EARN,MWEJ92HWO0523,8607,98.326,2020-05-27 05:18:04
AC14152748          ,2020-05-21 07:57:33,PIF,EARN,MWEXCHEVS0521,4618,97.989,2020-05-27 05:18:04
JA07272342          ,2020-05-18 12:37:01,PIF,REFUND,MWEQ4G6OZ0507,6907,94.95,2020-05-27 05:18:04
AC12973360          ,2020-05-18 01:59:40,ACMI,EARN,1d6786f9-b9b3-4126-9f5f-8eb6d5d46d45,,95.625,2020-05-27 05:18:04
KA24680689          ,2020-05-22 11:50:52,ACMI,REFUND,08a9f1ec-5a93-4079-bcd6-725d055c766e,,97.423,2020-05-27 05:18:04
JA07296510          ,2020-05-20 08:43:19,PIF,REFUND,MWEUM33MU0507,5643,97.65,2020-05-27 05:18:04
AC15171289          ,2020-05-25 08:49:46,ACMI,EARN,29cfdace-52bd-4fb3-86ad-dd4608839140,,96.525,2020-05-27 05:18:04
AC13343741          ,2020-05-19 00:41:37,ACMI,EARN,de31b46a-433a-4aee-ab38-5ee482bdd004,,95.625,2020-05-27 05:18:04
JA07357341          ,2020-05-26 14:24:38,ACMI,REFUND,f4debfbf-51d2-4055-a9da-5b72fa0073f7,,95.851,2020-05-27 05:18:04
JA07299550          ,2020-05-20 18:17:20,PIF,REFUND,MWEFPC3HJ0513,7323,98.552,2020-05-27 05:18:04
JA07325055          ,2020-05-22 06:51:46,PIF,REFUND,MWECMPTMP0513,9274,95.625,2020-05-27 05:18:04
JA07328440          ,2020-05-22 13:08:47,ACMI,REFUND,eedbee74-f27a-4519-8f57-a01bc2d4a8eb,,95.4,2020-05-27 05:18:04
JA07286378          ,2020-05-24 14:20:04,PIF,REFUND,MWERN9WZG0524,1215,99.454,2020-05-27 05:18:04
JA07286378          ,2020-05-24 14:20:04,PIF,REFUND,MWERN9WZG0524,1215,99.451,2020-05-27 05:18:04
JA07264104          ,2020-05-18 22:50:56,ACMI,REFUND,3ae75bb0-b020-43f2-b25a-ea6de9ba5419,,98.01,2020-05-27 05:18:04
JA07360214          ,2020-05-26 13:49:17,ACMI,REFUND,619db0c9-8d13-440e-8fce-c9f291c295b9,,93.803,2020-05-27 05:18:04
JA07360214          ,2020-05-26 13:49:17,ACMI,REFUND,f2ac14f5-b282-486f-819b-dcaecd835c8a,,90,2020-05-27 05:18:04
AC14695893          ,2020-05-23 02:20:23,PIF,EARN,MWEXYJ30T0521,8724,98.1,2020-05-27 05:18:04
AC13574284          ,2020-05-19 14:48:48,ACMI,EARN,56f9a702-3c95-4255-9618-11074d663d98,,96.3,2020-05-27 05:18:04
AC14166858          ,2020-05-21 08:54:34,ACMI,EARN,5b19291d-f8bc-439c-ae23-e02a6c9d191f,,96.3,2020-05-27 05:18:04
AC14325217          ,2020-05-21 22:00:48,ACMI,EARN,4710d92d-d886-49ed-b87c-1a9abd7d2089,,99.225,2020-05-27 05:18:04
AC13744411          ,2020-05-20 01:30:03,PIF,EARN,MWERQOPGU0518,7160,97.2,2020-05-27 05:18:04
JA07288903          ,2020-05-19 18:43:06,ACMI,REFUND,0e75f291-8a6e-4459-8834-353eb516f7d5,,99,2020-05-27 05:18:04
JA07288903          ,2020-05-19 18:43:06,ACMI,REFUND,daedcd82-879f-45d6-bd7c-effbd587ee3d,,99,2020-05-27 05:18:04
JA07237537          ,2020-05-14 08:43:34,PIF,REFUND,MWEPAYMA10506,5147,99.396,2020-05-27 05:18:04
AC15222298          ,2020-05-25 14:07:29,PIF,EARN,MWELSH94X0524,3390,90,2020-05-27 05:18:04
JA07296502          ,2020-05-20 08:42:21,ACMI,REFUND,266f78be-ea1b-45c4-a216-00ec6ec01460,,90,2020-05-27 05:18:04
JA07296502          ,2020-05-20 08:42:21,ACMI,REFUND,98e30419-2358-4e9c-96f8-5e9317798d7a,,96.975,2020-05-27 05:18:04
AC14694342          ,2020-05-23 02:15:47,PIF,EARN,MWEER41WS0521,3490,97.424,2020-05-27 05:18:04
AC13604209          ,2020-05-19 17:34:57,ACMI,EARN,c4fcd2e9-1964-461d-8692-d9506710134f,,97.425,2020-05-27 05:18:04
JA07225393          ,2020-05-13 14:33:30,PIF,REFUND,MWEFSLRMJ0507,2928,95.4,2020-05-27 05:18:04
JA07358857          ,2020-05-26 12:18:40,ACMI,REFUND,42b02a68-5d2a-4b4e-a332-f8d047b4d7ab,,96.3,2020-05-27 05:18:04
JA07358857          ,2020-05-26 12:18:40,ACMI,REFUND,3c274ba6-f32d-4caf-a177-e5be7657f15d,,90,2020-05-27 05:18:04
AC14775635          ,2020-05-23 11:54:40,PIF,EARN,MWEUT23S10523,3742,98.1,2020-05-27 05:18:04
JA07336193          ,2020-05-24 11:40:09,ACMI,REFUND,ec1c9649-d393-4433-bdaa-6bc4fbdc6365,,98.1,2020-05-27 05:18:04
JA07336193          ,2020-05-24 11:40:09,ACMI,REFUND,c5f565e5-de9b-4207-8811-98c060c93ad6,,90,2020-05-27 05:18:04
AC13990699          ,2020-05-20 21:03:24,ACMI,EARN,affc0e4c-ffe4-4abc-b483-65267051b952,,96.3,2020-05-27 05:18:04
JA07324623          ,2020-05-22 06:08:55,PIF,REFUND,MWEHSNXMW0510,5061,94.5,2020-05-27 05:18:04
KA24734780          ,2020-05-26 09:05:08,ACMI,REFUND,55a087a3-bfe1-4d82-9dca-5ce5b5f1d84d,,90,2020-05-27 05:18:04
